fecha,id_producto,nombre_producto,categoria,cantidad_vendida,precio_venta,costo_unitario,total_venta
2023-09-01,P004,Fideos Don Vittorio 500g,Alimentos,25.0,2.8,1.9,70.0
2023-09-01,P007,Queso Fresco 250g,Lacteos,4.0,5.0,3.6,20.0
2023-09-01,P006,Yogurt Laive 1L,Lacteos,9.0,7.5,5.5,67.5
2023-09-01,P011,Agua San Luis 625ml,Bebidas,25.0,1.5,0.9,37.5
2023-09-01,P016,Chocolate Sublime,Snacks,10.0,1.5,0.9,15.0
2023-09-01,P023,Jabon Dove 90g,Higiene,8.0,3.5,2.4,28.0
2023-09-01,P019,Detergente Ariel 500g,Limpieza,6.0,8.5,6.2,51.0
2023-09-01,P002,Aceite Primor 1L,Alimentos,6.0,8.0,6.0,48.0
2023-09-01,P015,Papas Lays 42g,Snacks,13.0,2.0,1.3,26.0
2023-09-01,P024,Papel Higienico Elite 4u,Higiene,10.0,5.5,3.8,55.0
2023-09-01,P012,Cerveza Cristal 650ml,Bebidas,4.0,5.0,3.5,20.0
2023-09-01,P003,Azucar Rubia 1kg,Alimentos,11.0,3.2,2.3,35.2
2023-09-01,P014,Galletas Oreo 12u,Snacks,13.0,2.5,1.7,32.5
2023-09-01,P009,Coca Cola 500ml,Bebidas,16.0,2.5,1.6,40.0
2023-09-01,P008,Mantequilla Laive 100g,Lacteos,1.0,4.2,3.0,4.2
2023-09-01,P022,Shampoo Pantene 400ml,Higiene,3.0,14.0,10.0,42.0
2023-09-01,P001,Arroz Costeno 1kg,Alimentos,8.0,3.5,2.5,28.0
2023-09-01,P025,Pasta Dental Colgate 75ml,Higiene,8.0,4.5,3.1,36.0
2023-09-01,P018,Chifles 50g,Snacks,2.0,1.5,0.9,3.0
2023-09-01,P005,Leche Gloria 400g,Lacteos,20.0,4.5,3.2,90.0
2023-09-02,P023,Jabon Dove 90g,Higiene,10.0,3.5,2.4,35.0
2023-09-02,P021,Jabon Bolivar 230g,Limpieza,1.0,2.5,1.6,2.5
2023-09-02,P019,Detergente Ariel 500g,Limpieza,13.0,8.5,6.2,110.5
2023-09-02,P025,Pasta Dental Colgate 75ml,Higiene,5.0,4.5,3.1,22.5
2023-09-02,P005,Leche Gloria 400g,Lacteos,29.0,4.5,3.2,130.5
2023-09-02,P018,Chifles 50g,Snacks,2.0,1.5,0.9,3.0
2023-09-02,P002,Aceite Primor 1L,Alimentos,5.0,8.0,6.0,40.0
2023-09-02,P001,Arroz Costeno 1kg,Alimentos,19.0,3.5,2.5,66.5
2023-09-02,P016,Chocolate Sublime,Snacks,7.0,1.5,0.9,10.5
2023-09-02,P015,Papas Lays 42g,Snacks,13.0,2.0,1.3,26.0
2023-09-02,P017,Galletas Casino 6u,Snacks,2.0,1.8,1.1,3.6
2023-09-02,P024,Papel Higienico Elite 4u,Higiene,22.0,5.5,3.8,121.0
2023-09-02,P013,Energizante Volt 473ml,Bebidas,1.0,3.5,2.4,3.5
2023-09-02,P003,Azucar Rubia 1kg,Alimentos,31.0,3.2,2.3,99.2
2023-09-02,P020,Lejia Clorox 1L,Limpieza,7.0,4.0,2.8,28.0
2023-09-02,P014,Galletas Oreo 12u,Snacks,14.0,2.5,1.7,35.0
2023-09-02,P022,Shampoo Pantene 400ml,Higiene,3.0,14.0,10.0,42.0
2023-09-02,P009,Coca Cola 500ml,Bebidas,20.0,2.5,1.6,50.0
2023-09-03,P004,Fideos Don Vittorio 500g,Alimentos,13.0,2.8,1.9,36.4
2023-09-03,P021,Jabon Bolivar 230g,Limpieza,2.0,2.5,1.6,5.0
2023-09-03,P009,Coca Cola 500ml,Bebidas,23.0,2.5,1.6,57.5
2023-09-03,P006,Yogurt Laive 1L,Lacteos,7.0,7.5,5.5,52.5
2023-09-03,P014,Galletas Oreo 12u,Snacks,32.0,2.5,1.7,80.0
2023-09-03,P018,Chifles 50g,Snacks,5.0,1.5,0.9,7.5
2023-09-03,P015,Papas Lays 42g,Snacks,16.0,2.0,1.3,32.0
2023-09-03,P024,Papel Higienico Elite 4u,Higiene,13.0,5.5,3.8,71.5
2023-09-03,P007,Queso Fresco 250g,Lacteos,1.0,5.0,3.6,5.0
2023-09-03,P008,Mantequilla Laive 100g,Lacteos,1.0,4.2,3.0,4.2
2023-09-03,P005,Leche Gloria 400g,Lacteos,28.0,4.5,3.2,126.0
2023-09-04,P017,Galletas Casino 6u,Snacks,1.0,1.8,1.1,1.8
2023-09-04,P015,Papas Lays 42g,Snacks,16.0,2.0,1.3,32.0
2023-09-04,P011,Agua San Luis 625ml,Bebidas,14.0,1.5,0.9,21.0
2023-09-04,P022,Shampoo Pantene 400ml,Higiene,2.0,14.0,10.0,28.0
2023-09-04,P014,Galletas Oreo 12u,Snacks,11.0,2.5,1.7,27.5
2023-09-04,P020,Lejia Clorox 1L,Limpieza,4.0,4.0,2.8,16.0
2023-09-04,P008,Mantequilla Laive 100g,Lacteos,4.0,4.2,3.0,16.8
2023-09-04,P019,Detergente Ariel 500g,Limpieza,7.0,8.5,6.2,59.5
2023-09-04,P002,Aceite Primor 1L,Alimentos,8.0,8.0,6.0,64.0
2023-09-05,P022,Shampoo Pantene 400ml,Higiene,3.0,14.0,10.0,42.0
2023-09-05,P006,Yogurt Laive 1L,Lacteos,6.0,7.5,5.5,45.0
2023-09-05,P005,Leche Gloria 400g,Lacteos,13.0,4.5,3.2,58.5
2023-09-05,P011,Agua San Luis 625ml,Bebidas,12.0,1.5,0.9,18.0
2023-09-05,P001,Arroz Costeno 1kg,Alimentos,11.0,3.5,2.5,38.5
2023-09-05,P002,Aceite Primor 1L,Alimentos,3.0,8.0,6.0,24.0
2023-09-05,P009,Coca Cola 500ml,Bebidas,12.0,2.5,1.6,30.0
2023-09-05,P014,Galletas Oreo 12u,Snacks,9.0,2.5,1.7,22.5
2023-09-05,P021,Jabon Bolivar 230g,Limpieza,1.0,2.5,1.6,2.5
2023-09-05,P003,Azucar Rubia 1kg,Alimentos,22.0,3.2,2.3,70.4
2023-09-06,P023,Jabon Dove 90g,Higiene,7.0,3.5,2.4,24.5
2023-09-06,P001,Arroz Costeno 1kg,Alimentos,18.0,3.5,2.5,63.0
2023-09-06,P019,Detergente Ariel 500g,Limpieza,6.0,8.5,6.2,51.0
2023-09-06,P010,Inca Kola 1.5L,Bebidas,24.0,5.5,3.8,132.0
2023-09-06,P016,Chocolate Sublime,Snacks,9.0,1.5,0.9,13.5
2023-09-06,P015,Papas Lays 42g,Snacks,13.0,2.0,1.3,26.0
2023-09-06,P007,Queso Fresco 250g,Lacteos,3.0,5.0,3.6,15.0
2023-09-06,P008,Mantequilla Laive 100g,Lacteos,3.0,4.2,3.0,12.6
2023-09-06,P012,Cerveza Cristal 650ml,Bebidas,9.0,5.0,3.5,45.0
2023-09-07,P024,Papel Higienico Elite 4u,Higiene,11.0,5.5,3.8,60.5
2023-09-07,P015,Papas Lays 42g,Snacks,25.0,2.0,1.3,50.0
2023-09-07,P013,Energizante Volt 473ml,Bebidas,2.0,3.5,2.4,7.0
2023-09-07,P023,Jabon Dove 90g,Higiene,5.0,3.5,2.4,17.5
2023-09-07,P001,Arroz Costeno 1kg,Alimentos,24.0,3.5,2.5,84.0
2023-09-07,P004,Fideos Don Vittorio 500g,Alimentos,24.0,2.8,1.9,67.2
2023-09-07,P021,Jabon Bolivar 230g,Limpieza,1.0,2.5,1.6,2.5
2023-09-07,P005,Leche Gloria 400g,Lacteos,23.0,4.5,3.2,103.5
2023-09-07,P006,Yogurt Laive 1L,Lacteos,10.0,7.5,5.5,75.0
2023-09-07,P014,Galletas Oreo 12u,Snacks,10.0,2.5,1.7,25.0
2023-09-07,P007,Queso Fresco 250g,Lacteos,1.0,5.0,3.6,5.0
2023-09-07,P018,Chifles 50g,Snacks,3.0,1.5,0.9,4.5
2023-09-07,P019,Detergente Ariel 500g,Limpieza,6.0,8.5,6.2,51.0
2023-09-08,P006,Yogurt Laive 1L,Lacteos,5.0,7.5,5.5,37.5
2023-09-08,P005,Leche Gloria 400g,Lacteos,8.0,4.5,3.2,36.0
2023-09-08,P010,Inca Kola 1.5L,Bebidas,13.0,5.5,3.8,71.5
2023-09-08,P003,Azucar Rubia 1kg,Alimentos,20.0,3.2,2.3,64.0
2023-09-08,P015,Papas Lays 42g,Snacks,15.0,2.0,1.3,30.0
2023-09-08,P024,Papel Higienico Elite 4u,Higiene,21.0,5.5,3.8,115.5
2023-09-08,P025,Pasta Dental Colgate 75ml,Higiene,3.0,4.5,3.1,13.5
2023-09-08,P016,Chocolate Sublime,Snacks,9.0,1.5,0.9,13.5
2023-09-08,P017,Galletas Casino 6u,Snacks,4.0,1.8,1.1,7.2
2023-09-08,P009,Coca Cola 500ml,Bebidas,20.0,2.5,1.6,50.0
2023-09-08,P021,Jabon Bolivar 230g,Limpieza,3.0,2.5,1.6,7.5
2023-09-08,P008,Mantequilla Laive 100g,Lacteos,1.0,4.2,3.0,4.2
2023-09-09,P004,Fideos Don Vittorio 500g,Alimentos,24.0,2.8,1.9,67.2
2023-09-09,P025,Pasta Dental Colgate 75ml,Higiene,11.0,4.5,3.1,49.5
2023-09-09,P012,Cerveza Cristal 650ml,Bebidas,3.0,5.0,3.5,15.0
2023-09-09,P022,Shampoo Pantene 400ml,Higiene,3.0,14.0,10.0,42.0
2023-09-09,P018,Chifles 50g,Snacks,5.0,1.5,0.9,7.5
2023-09-09,P017,Galletas Casino 6u,Snacks,5.0,1.8,1.1,9.0
2023-09-09,P002,Aceite Primor 1L,Alimentos,11.0,8.0,6.0,88.0
2023-09-09,P014,Galletas Oreo 12u,Snacks,14.0,2.5,1.7,35.0
2023-09-09,P016,Chocolate Sublime,Snacks,7.0,1.5,0.9,10.5
2023-09-09,P003,Azucar Rubia 1kg,Alimentos,26.0,3.2,2.3,83.2
2023-09-09,P023,Jabon Dove 90g,Higiene,3.0,3.5,2.4,10.5
2023-09-09,P001,Arroz Costeno 1kg,Alimentos,14.0,3.5,2.5,49.0
2023-09-09,P009,Coca Cola 500ml,Bebidas,18.0,2.5,1.6,45.0
2023-09-09,P013,Energizante Volt 473ml,Bebidas,2.0,3.5,2.4,7.0
2023-09-09,P011,Agua San Luis 625ml,Bebidas,10.0,1.5,0.9,15.0
2023-09-10,P024,Papel Higienico Elite 4u,Higiene,11.0,5.5,3.8,60.5
2023-09-10,P017,Galletas Casino 6u,Snacks,5.0,1.8,1.1,9.0
2023-09-10,P015,Papas Lays 42g,Snacks,29.0,2.0,1.3,58.0
2023-09-10,P010,Inca Kola 1.5L,Bebidas,22.0,5.5,3.8,121.0
2023-09-10,P005,Leche Gloria 400g,Lacteos,32.0,4.5,3.2,144.0
2023-09-10,P022,Shampoo Pantene 400ml,Higiene,3.0,14.0,10.0,42.0
2023-09-10,P009,Coca Cola 500ml,Bebidas,31.0,2.5,1.6,77.5
2023-09-10,P007,Queso Fresco 250g,Lacteos,2.0,5.0,3.6,10.0
2023-09-10,P023,Jabon Dove 90g,Higiene,10.0,3.5,2.4,35.0
2023-09-10,P006,Yogurt Laive 1L,Lacteos,13.0,7.5,5.5,97.5
2023-09-10,P025,Pasta Dental Colgate 75ml,Higiene,11.0,4.5,3.1,49.5
2023-09-10,P001,Arroz Costeno 1kg,Alimentos,29.0,3.5,2.5,101.5
2023-09-10,P011,Agua San Luis 625ml,Bebidas,31.0,1.5,0.9,46.5
2023-09-10,P012,Cerveza Cristal 650ml,Bebidas,6.0,5.0,3.5,30.0
2023-09-11,P017,Galletas Casino 6u,Snacks,2.0,1.8,1.1,3.6
2023-09-11,P016,Chocolate Sublime,Snacks,10.0,1.5,0.9,15.0
2023-09-11,P015,Papas Lays 42g,Snacks,17.0,2.0,1.3,34.0
2023-09-11,P013,Energizante Volt 473ml,Bebidas,3.0,3.5,2.4,10.5
2023-09-11,P025,Pasta Dental Colgate 75ml,Higiene,6.0,4.5,3.1,27.0
2023-09-11,P021,Jabon Bolivar 230g,Limpieza,3.0,2.5,1.6,7.5
2023-09-11,P020,Lejia Clorox 1L,Limpieza,10.0,4.0,2.8,40.0
2023-09-11,P014,Galletas Oreo 12u,Snacks,15.0,2.5,1.7,37.5
2023-09-11,P018,Chifles 50g,Snacks,2.0,1.5,0.9,3.0
2023-09-11,P004,Fideos Don Vittorio 500g,Alimentos,9.0,2.8,1.9,25.2
2023-09-11,P008,Mantequilla Laive 100g,Lacteos,4.0,4.2,3.0,16.8
2023-09-12,P025,Pasta Dental Colgate 75ml,Higiene,9.0,4.5,3.1,40.5
2023-09-12,P004,Fideos Don Vittorio 500g,Alimentos,15.0,2.8,1.9,42.0
2023-09-12,P019,Detergente Ariel 500g,Limpieza,10.0,8.5,6.2,85.0
2023-09-12,P001,Arroz Costeno 1kg,Alimentos,25.0,3.5,2.5,87.5
2023-09-12,P009,Coca Cola 500ml,Bebidas,23.0,2.5,1.6,57.5
2023-09-12,P014,Galletas Oreo 12u,Snacks,20.0,2.5,1.7,50.0
2023-09-12,P011,Agua San Luis 625ml,Bebidas,25.0,1.5,0.9,37.5
2023-09-12,P020,Lejia Clorox 1L,Limpieza,10.0,4.0,2.8,40.0
2023-09-12,P003,Azucar Rubia 1kg,Alimentos,18.0,3.2,2.3,57.6
2023-09-12,P015,Papas Lays 42g,Snacks,23.0,2.0,1.3,46.0
2023-09-12,P016,Chocolate Sublime,Snacks,10.0,1.5,0.9,15.0
2023-09-12,P018,Chifles 50g,Snacks,1.0,1.5,0.9,1.5
2023-09-12,P017,Galletas Casino 6u,Snacks,1.0,1.8,1.1,1.8
2023-09-12,P002,Aceite Primor 1L,Alimentos,3.0,8.0,6.0,24.0
2023-09-13,P020,Lejia Clorox 1L,Limpieza,9.0,4.0,2.8,36.0
2023-09-13,P015,Papas Lays 42g,Snacks,20.0,2.0,1.3,40.0
2023-09-13,P007,Queso Fresco 250g,Lacteos,4.0,5.0,3.6,20.0
2023-09-13,P003,Azucar Rubia 1kg,Alimentos,30.0,3.2,2.3,96.0
2023-09-13,P019,Detergente Ariel 500g,Limpieza,10.0,8.5,6.2,85.0
2023-09-13,P013,Energizante Volt 473ml,Bebidas,1.0,3.5,2.4,3.5
2023-09-13,P008,Mantequilla Laive 100g,Lacteos,2.0,4.2,3.0,8.4
2023-09-13,P022,Shampoo Pantene 400ml,Higiene,2.0,14.0,10.0,28.0
2023-09-13,P010,Inca Kola 1.5L,Bebidas,21.0,5.5,3.8,115.5
2023-09-13,P009,Coca Cola 500ml,Bebidas,24.0,2.5,1.6,60.0
2023-09-13,P017,Galletas Casino 6u,Snacks,3.0,1.8,1.1,5.4
2023-09-13,P016,Chocolate Sublime,Snacks,12.0,1.5,0.9,18.0
2023-09-13,P005,Leche Gloria 400g,Lacteos,9.0,4.5,3.2,40.5
2023-09-13,P021,Jabon Bolivar 230g,Limpieza,4.0,2.5,1.6,10.0
2023-09-13,P004,Fideos Don Vittorio 500g,Alimentos,14.0,2.8,1.9,39.2
2023-09-13,P014,Galletas Oreo 12u,Snacks,27.0,2.5,1.7,67.5
2023-09-14,P004,Fideos Don Vittorio 500g,Alimentos,20.0,2.8,1.9,56.0
2023-09-14,P003,Azucar Rubia 1kg,Alimentos,10.0,3.2,2.3,32.0
2023-09-14,P014,Galletas Oreo 12u,Snacks,24.0,2.5,1.7,60.0
2023-09-14,P018,Chifles 50g,Snacks,3.0,1.5,0.9,4.5
2023-09-14,P012,Cerveza Cristal 650ml,Bebidas,10.0,5.0,3.5,50.0
2023-09-14,P024,Papel Higienico Elite 4u,Higiene,25.0,5.5,3.8,137.5
2023-09-14,P022,Shampoo Pantene 400ml,Higiene,4.0,14.0,10.0,56.0
2023-09-14,P002,Aceite Primor 1L,Alimentos,8.0,8.0,6.0,64.0
2023-09-14,P001,Arroz Costeno 1kg,Alimentos,27.0,3.5,2.5,94.5
2023-09-14,P010,Inca Kola 1.5L,Bebidas,12.0,5.5,3.8,66.0
2023-09-14,P023,Jabon Dove 90g,Higiene,10.0,3.5,2.4,35.0
2023-09-14,P011,Agua San Luis 625ml,Bebidas,26.0,1.5,0.9,39.0
2023-09-15,P012,Cerveza Cristal 650ml,Bebidas,6.0,5.0,3.5,30.0
2023-09-15,P006,Yogurt Laive 1L,Lacteos,12.0,7.5,5.5,90.0
2023-09-15,P018,Chifles 50g,Snacks,3.0,1.5,0.9,4.5
2023-09-15,P019,Detergente Ariel 500g,Limpieza,4.0,8.5,6.2,34.0
2023-09-15,P015,Papas Lays 42g,Snacks,19.0,2.0,1.3,38.0
2023-09-15,P002,Aceite Primor 1L,Alimentos,10.0,8.0,6.0,80.0
2023-09-15,P005,Leche Gloria 400g,Lacteos,20.0,4.5,3.2,90.0
2023-09-15,P009,Coca Cola 500ml,Bebidas,19.0,2.5,1.6,47.5
2023-09-15,P020,Lejia Clorox 1L,Limpieza,9.0,4.0,2.8,36.0
2023-09-15,P007,Queso Fresco 250g,Lacteos,2.0,5.0,3.6,10.0
2023-09-15,P021,Jabon Bolivar 230g,Limpieza,2.0,2.5,1.6,5.0
2023-09-15,P004,Fideos Don Vittorio 500g,Alimentos,12.0,2.8,1.9,33.6
2023-09-16,P020,Lejia Clorox 1L,Limpieza,10.0,4.0,2.8,40.0
2023-09-16,P022,Shampoo Pantene 400ml,Higiene,1.0,14.0,10.0,14.0
2023-09-16,P014,Galletas Oreo 12u,Snacks,21.0,2.5,1.7,52.5
2023-09-16,P023,Jabon Dove 90g,Higiene,8.0,3.5,2.4,28.0
2023-09-16,P012,Cerveza Cristal 650ml,Bebidas,3.0,5.0,3.5,15.0
2023-09-16,P015,Papas Lays 42g,Snacks,33.0,2.0,1.3,66.0
2023-09-16,P005,Leche Gloria 400g,Lacteos,38.0,4.5,3.2,171.0
2023-09-16,P018,Chifles 50g,Snacks,2.0,1.5,0.9,3.0
2023-09-16,P008,Mantequilla Laive 100g,Lacteos,3.0,4.2,3.0,12.6
2023-09-16,P004,Fideos Don Vittorio 500g,Alimentos,32.0,2.8,1.9,89.6
2023-09-16,P013,Energizante Volt 473ml,Bebidas,3.0,3.5,2.4,10.5
2023-09-17,P002,Aceite Primor 1L,Alimentos,11.0,8.0,6.0,88.0
2023-09-17,P007,Queso Fresco 250g,Lacteos,1.0,5.0,3.6,5.0
2023-09-17,P024,Papel Higienico Elite 4u,Higiene,19.0,5.5,3.8,104.5
2023-09-17,P005,Leche Gloria 400g,Lacteos,32.0,4.5,3.2,144.0
2023-09-17,P006,Yogurt Laive 1L,Lacteos,5.0,7.5,5.5,37.5
2023-09-17,P009,Coca Cola 500ml,Bebidas,23.0,2.5,1.6,57.5
2023-09-17,P011,Agua San Luis 625ml,Bebidas,29.0,1.5,0.9,43.5
2023-09-17,P025,Pasta Dental Colgate 75ml,Higiene,13.0,4.5,3.1,58.5
2023-09-17,P019,Detergente Ariel 500g,Limpieza,9.0,8.5,6.2,76.5
2023-09-17,P008,Mantequilla Laive 100g,Lacteos,1.0,4.2,3.0,4.2
2023-09-17,P012,Cerveza Cristal 650ml,Bebidas,10.0,5.0,3.5,50.0
2023-09-17,P001,Arroz Costeno 1kg,Alimentos,31.0,3.5,2.5,108.5
2023-09-18,P001,Arroz Costeno 1kg,Alimentos,18.0,3.5,2.5,63.0
2023-09-18,P009,Coca Cola 500ml,Bebidas,10.0,2.5,1.6,25.0
2023-09-18,P005,Leche Gloria 400g,Lacteos,20.0,4.5,3.2,90.0
2023-09-18,P012,Cerveza Cristal 650ml,Bebidas,8.0,5.0,3.5,40.0
2023-09-18,P021,Jabon Bolivar 230g,Limpieza,4.0,2.5,1.6,10.0
2023-09-18,P023,Jabon Dove 90g,Higiene,10.0,3.5,2.4,35.0
2023-09-18,P003,Azucar Rubia 1kg,Alimentos,17.0,3.2,2.3,54.4
2023-09-18,P016,Chocolate Sublime,Snacks,9.0,1.5,0.9,13.5
2023-09-18,P022,Shampoo Pantene 400ml,Higiene,3.0,14.0,10.0,42.0
